VOTER_ID,LAST_NAME,FIRST_NAME,MIDDLE_NAME,SUFFIX,GENDER,DATE_OF_BIRTH,REGISTRATION_DATE,PARTY,STATUS,HOUSE_NUMBER,STREET_NAME,APT,CITY,STATE,ZIP,COUNTY,PRECINCT,CONGRESSIONAL_DISTRICT,STATE_SENATE_DISTRICT,STATE_HOUSE_DISTRICT,PROPENSITY_SCORE
877564713,Harris,Deborah,,,F,1930-12-26,1985-05-17,REP,A,7209,Broad Blvd,Apt 81,Fairfax,VA,22124,Fairfax County,280,VA-08,33,86,48
956905222,Miller,Linda,Sue,,F,1938-06-24,2024-04-17,NPA,A,585,Broad Ln,,Chantilly,VA,20152,Fairfax County,458,VA-10,36,39,68
364774064,Martinez,Paul,Rose,,M,1978-06-12,2012-03-06,DEM,A,185,Park Pl,,Falls Church,VA,22041,Falls Church City,312,VA-10,37,67,55
860603328,Miller,Ryan,J,,M,1929-07-22,1999-10-22,NPA,A,7312,Church Ct,#29,Chantilly,VA,20152,Fairfax County,345,VA-11,33,49,31
723326773,Jones,Rachel,Jo,Jr,F,1946-11-21,1997-03-03,NPA,A,2625,Walnut Ct,,McLean,VA,22102,Fairfax County,896,VA-11,39,47,54
596126873,Sanchez,Melissa,,III,F,1993-03-19,2018-09-26,NPA,A,1812,Park Ct,Apt 238,Alexandria,VA,22309,Alexandria City,354,VA-10,37,40,52
296542559,Green,Daniel,Sue,,M,1932-11-10,1987-09-14,DEM,A,6470,Main Dr,,Woodbridge,VA,22194,Prince William County,291,VA-11,32,45,33
648473746,Hill,Rebecca,J,III,F,1978-08-05,2004-05-01,REP,A,2938,Sunset Rd,,Manassas,VA,20112,Manassas City,679,VA-08,35,34,48
652348887,Wright,Heather,Jean,II,F,1934-08-14,2019-01-06,DEM,I,1777,Cherry Dr,#44,Vienna,VA,22181,Fairfax County,845,VA-08,37,37,78
527044165,Carter,Thomas,Jo,,M,1964-12-01,1987-09-10,NPA,A,2496,Walnut Blvd,#28,Herndon,VA,20170,Fairfax County,772,VA-11,34,47,38
351410032,Moore,Gary,Lee,,M,1972-10-07,2015-12-04,DEM,A,5731,School St,,Herndon,VA,20171,Fairfax County,801,VA-08,37,48,0
207873599,Wilson,James,,,M,1945-10-31,1990-04-17,REP,A,7391,Main St,,Leesburg,VA,20177,Loudoun County,727,VA-08,33,46,9
381519299,Ramirez,Amanda,Lee,,F,1960-05-21,1985-07-23,DEM,I,9946,College Cir,,McLean,VA,22106,Fairfax County,143,VA-11,39,40,75
896387342,Jackson,Angela,Jo,,F,1980-02-12,2022-01-26,DEM,I,4646,Maple Ln,,Ashburn,VA,20147,Loudoun County,385,VA-10,31,43,70
866673993,Rivera,James,J,,M,1949-09-12,2001-02-07,DEM,A,4347,Elm Blvd,,Leesburg,VA,20177,Loudoun County,510,VA-10,36,42,52
110302352,Thomas,Kenneth,Jo,,M,1963-02-09,2006-08-22,DEM,A,8325,Chestnut St,,Centreville,VA,20120,Fairfax County,161,VA-10,34,43,33
536489528,Campbell,Catherine,Marie,,F,1955-09-29,1994-05-15,DEM,I,1081,Pine Ln,,Lorton,VA,22079,Fairfax County,965,VA-10,31,86,10
198761306,Martin,Jeffrey,,,M,1944-02-16,1984-02-21,DEM,A,3622,Market Blvd,,Annandale,VA,22003,Fairfax County,668,VA-08,34,42,82
194190297,Brown,Ryan,L,III,M,1984-07-21,2024-04-03,DEM,A,7090,Elm Blvd,,Alexandria,VA,22308,Alexandria City,572,VA-08,33,43,50
735185398,Adams,Betty,S,II,F,1931-07-15,2002-03-21,REP,A,8040,Mill Cir,Apt 29,Manassas,VA,20112,Manassas City,305,VA-11,33,34,90
810966933,Torres,Pamela,K,III,F,1953-09-10,2019-08-21,DEM,A,8135,Oak Ave,,Annandale,VA,22003,Fairfax County,187,VA-08,35,87,20
927672827,Lee,Michelle,J,,F,1984-11-23,2023-11-09,NPA,A,9307,Walnut Cir,,Burke,VA,22015,Fairfax County,364,VA-11,34,38,18
442219677,Lee,Scott,R,III,M,1942-09-12,1982-08-14,DEM,A,3999,Mill Blvd,,Burke,VA,22015,Fairfax County,257,VA-08,34,40,25
298514700,Stewart,Lisa,Rose,,F,1938-10-08,1978-05-09,REP,A,607,Spring Rd,,Burke,VA,22015,Fairfax County,115,VA-08,33,47,70
235491190,Williams,Jeffrey,T,,M,1988-05-14,2011-01-28,DEM,A,2576,Lincoln Ave,,Springfield,VA,22150,Fairfax County,969,VA-08,39,35,84
531343461,Evans,Betty,K,IV,F,1962-06-13,1986-01-04,DEM,A,9215,River Way,,Fairfax,VA,22079,Fairfax County,809,VA-11,39,47,11
367888133,Mitchell,Michael,,,M,1976-01-11,2009-02-26,NPA,A,4693,Market Pl,,Annandale,VA,22003,Fairfax County,424,VA-11,37,44,27
861678303,Gonzalez,Carolyn,W,,F,1988-09-15,2014-11-26,REP,A,4063,Mill Pl,,Falls Church,VA,22041,Falls Church City,898,VA-10,35,39,84
160961339,Robinson,Amanda,T,,F,1988-06-03,2021-03-10,DEM,I,6606,Highland Ave,,Leesburg,VA,20177,Loudoun County,689,VA-11,34,43,68
282521788,Rodriguez,Debra,B,Jr,F,1966-05-13,2024-09-05,REP,I,6461,Cherry St,,Lorton,VA,22079,Fairfax County,453,VA-11,39,49,91
105061082,Miller,Andrew,,,M,1962-10-14,1996-06-03,REP,A,3741,Mill Dr,,Burke,VA,22015,Fairfax County,654,VA-11,34,48,85
345262270,Carter,Larry,L,Jr,M,1940-03-07,2008-11-28,DEM,A,7129,Forest Ct,,Lorton,VA,22079,Fairfax County,605,VA-11,33,34,68
852399189,Johnson,Patrick,L,,M,1975-12-31,2022-03-08,REP,A,4290,Lincoln Way,#27,Arlington,VA,22207,Arlington County,110,VA-08,31,47,44
893001503,Campbell,Nicholas,H,,M,1943-02-24,2014-08-27,NPA,I,3372,Lincoln Ln,#7,Vienna,VA,22182,Fairfax County,664,VA-08,30,67,50
856524312,Edwards,James,J,,M,1971-07-03,2008-08-20,DEM,A,6205,Market Blvd,,Springfield,VA,22150,Fairfax County,846,VA-11,37,47,65
427059567,Collins,Raymond,Ray,Sr,M,1995-12-19,2015-02-20,DEM,A,7995,Mill Ct,,Lorton,VA,22079,Fairfax County,102,VA-11,37,49,87
779936769,Nelson,Samuel,,,M,1975-01-28,2003-01-01,REP,A,9277,Lincoln Cir,,Woodbridge,VA,22193,Prince William County,671,VA-08,33,34,34
753901994,Morris,Jerry,,,M,2004-09-15,2022-10-03,REP,A,8789,Cherry St,#45,Manassas,VA,20108,Manassas City,882,VA-11,32,38,10
833784779,Sanchez,Paul,Ray,,M,1986-03-10,2007-02-05,REP,I,9075,Center Blvd,#10,Lorton,VA,22079,Fairfax County,433,VA-11,34,45,92
795389979,Turner,Frank,Ann,,M,1998-01-17,2020-01-09,REP,A,9305,Center Dr,,Woodbridge,VA,22191,Prince William County,484,VA-11,30,46,39
664138658,Campbell,Jerry,N,,M,1986-04-01,2019-04-24,DEM,A,2947,Cherry Way,,Fairfax,VA,22039,Fairfax County,584,VA-08,32,86,85
306708606,Hernandez,Nicholas,Jo,II,M,1997-07-26,2016-01-12,DEM,A,3595,Chestnut Blvd,,Centreville,VA,20120,Fairfax County,978,VA-11,30,37,67
213962171,Roberts,Christopher,A,,M,1955-12-10,1992-02-16,REP,I,3468,Sunset Ct,,Lorton,VA,22079,Fairfax County,307,VA-11,35,35,9
595279737,Carter,Andrew,,,M,1979-12-05,1998-05-20,REP,A,8840,Lake Rd,,Manassas,VA,20109,Manassas City,942,VA-10,35,34,55
678336713,Jones,Christine,T,,F,1954-10-25,2015-09-16,DEM,A,2200,Chestnut Dr,Apt 202,Burke,VA,22015,Fairfax County,457,VA-10,35,87,66
759316106,Jones,Patrick,B,Sr,M,1932-10-24,2021-12-08,REP,I,700,Sunset Ln,#11,Chantilly,VA,20151,Fairfax County,825,VA-10,33,86,73
492234424,Hernandez,Jeffrey,M,III,M,2001-12-04,2020-08-21,DEM,A,762,Lake Pl,#42,Manassas,VA,20110,Manassas City,403,VA-11,35,46,47
273136853,Taylor,Eric,Rose,,M,1995-07-27,2020-11-30,DEM,A,7998,School Cir,,Centreville,VA,20121,Fairfax County,823,VA-08,39,42,21
283144690,Rodriguez,Robert,L,,M,1994-01-21,2024-11-01,REP,A,2825,Hill Rd,,Herndon,VA,20170,Fairfax County,141,VA-08,37,87,99
963955258,Evans,Justin,M,IV,M,1994-05-16,2015-10-05,DEM,A,9873,Highland Ave,#49,Burke,VA,22015,Fairfax County,203,VA-11,39,47,83
807899575,Rodriguez,Jason,T,Jr,M,1958-02-12,2001-05-31,REP,A,4323,Washington St,,Ashburn,VA,20148,Loudoun County,918,VA-08,36,40,69
316581500,Hernandez,Rachel,G,,F,1994-07-25,2019-08-04,NPA,A,2733,River St,#43,Ashburn,VA,20147,Loudoun County,896,VA-08,31,42,22
225637455,Williams,Betty,R,IV,F,1950-12-12,1973-03-27,IND,A,104,Elm Ave,,Centreville,VA,20120,Fairfax County,666,VA-11,33,53,2
542839009,Lewis,Rachel,Rose,III,F,1990-05-05,2024-12-27,NPA,A,7648,School Cir,,Burke,VA,22015,Fairfax County,516,VA-11,33,41,80
626998235,Parker,Frank,T,,M,1965-02-17,2000-11-23,REP,A,9185,Front Rd,,Burke,VA,22015,Fairfax County,523,VA-10,33,41,74
852384450,Anderson,Stephanie,J,,F,1996-08-04,2019-05-14,NPA,A,8332,Mill Ct,,Ashburn,VA,20147,Loudoun County,818,VA-10,35,34,1
469517811,Lewis,Emily,M,III,F,1945-10-22,1990-07-04,NPA,A,3963,Sunset Ct,,Falls Church,VA,22043,Falls Church City,370,VA-08,36,49,13
713791169,Hill,Debra,N,III,F,2002-11-29,2023-08-22,REP,A,4763,Mill Blvd,,Ashburn,VA,20147,Loudoun County,816,VA-11,34,48,63
449182252,Anderson,Kevin,Lee,,M,1966-12-30,1995-12-31,REP,A,7389,Lincoln Blvd,,Chantilly,VA,20152,Fairfax County,862,VA-08,30,38,73
246351498,Lewis,Brenda,J,II,F,1951-10-30,2023-08-12,DEM,A,8676,Broad Way,,Woodbridge,VA,22194,Prince William County,931,VA-10,34,45,41
586155117,Cook,Frank,,Jr,M,1967-01-05,2019-05-11,REP,A,9881,Lake St,,Lorton,VA,22079,Fairfax County,966,VA-08,32,46,83
927850618,Lee,Betty,B,,F,1935-10-01,1971-12-27,REP,A,4722,Hill Rd,Apt 97,Reston,VA,20190,Fairfax County,412,VA-08,37,40,34
265268660,Harris,Jacob,Marie,,M,1949-11-19,1973-10-14,DEM,A,4250,Forest Ln,#35,Ashburn,VA,20147,Loudoun County,413,VA-11,36,44,2
695411648,Young,Thomas,R,,M,2000-11-26,2021-11-23,DEM,A,449,Walnut Ct,,Woodbridge,VA,22192,Prince William County,177,VA-11,34,67,70
870780411,Jackson,Jeffrey,T,II,M,1975-08-21,1993-01-12,REP,A,3139,School St,,Leesburg,VA,20176,Loudoun County,451,VA-11,39,46,19
922790554,Robinson,Elizabeth,D,,F,2000-07-31,2022-02-20,NPA,A,8767,Oak Ave,,Arlington,VA,22205,Arlington County,481,VA-08,33,67,39
330664237,Nelson,Rachel,Sue,,F,1950-04-03,2019-05-05,REP,A,2691,Sunset Cir,,Chantilly,VA,20152,Fairfax County,685,VA-10,36,47,83
510692249,Allen,Brenda,K,,F,1933-08-24,2001-11-28,DEM,A,4441,Mill Cir,,Herndon,VA,20170,Fairfax County,519,VA-10,33,36,72
473992719,Wright,Kenneth,K,,M,1993-12-24,2015-12-14,REP,A,6536,Valley Cir,,Herndon,VA,20170,Fairfax County,746,VA-08,32,44,8
763534625,Martin,Jerry,L,,M,1985-11-16,2006-04-09,DEM,A,3925,Washington Blvd,,Woodbridge,VA,22191,Prince William County,210,VA-08,32,43,1
247382533,Harris,William,W,,M,1942-01-10,1996-03-29,NPA,A,6337,Meadow Ave,,Chantilly,VA,20151,Fairfax County,912,VA-08,39,48,56
892786126,Thomas,Edward,K,,M,1968-11-05,2000-10-09,REP,A,3487,Broad Rd,#10,Woodbridge,VA,22192,Prince William County,424,VA-11,39,38,43
364982130,Rodriguez,Richard,M,,M,1963-11-07,2006-06-09,DEM,A,3904,Lake St,#26,McLean,VA,22106,Fairfax County,828,VA-11,37,45,18
406998453,Mitchell,Scott,Rose,,M,1979-11-10,2022-08-28,REP,A,8630,Cedar Pl,,Ashburn,VA,20147,Loudoun County,488,VA-10,30,67,39
506603082,Murphy,Helen,D,Sr,F,1947-08-26,2010-07-11,LIB,A,1954,Elm Cir,,Fairfax,VA,22150,Fairfax County,366,VA-10,37,34,18
999811151,Torres,Kevin,K,,M,1947-04-02,1974-08-09,DEM,A,5171,Cherry Pl,,Lorton,VA,22079,Fairfax County,330,VA-11,34,34,46
634445451,Miller,Michael,Jo,,M,1949-12-11,1995-07-07,DEM,A,3006,Valley Cir,,Sterling,VA,20166,Loudoun County,555,VA-10,31,47,84
459821251,Jackson,Alexander,N,,M,1944-01-13,2011-09-16,DEM,A,6893,Spring St,Apt 474,Falls Church,VA,22042,Falls Church City,403,VA-11,34,42,79
618255654,Martin,Eric,Lee,II,M,1997-01-10,2017-05-03,DEM,A,5534,Union Blvd,,Sterling,VA,20166,Loudoun County,156,VA-11,39,39,57
716416868,Cook,Kevin,,Sr,M,1968-06-16,1992-06-05,REP,A,2274,Washington St,,Falls Church,VA,22046,Falls Church City,910,VA-10,30,87,87
814232253,Morris,Helen,Ray,II,F,1985-01-26,2005-12-01,DEM,A,926,Cedar Ct,,Alexandria,VA,22309,Alexandria City,399,VA-11,37,87,36
696020884,Jones,Patricia,,,F,1973-09-03,2011-09-09,DEM,A,5811,College Cir,,Reston,VA,20191,Fairfax County,258,VA-11,31,43,53
496450063,Jones,Stephanie,G,IV,F,1977-06-17,2017-03-04,NPA,A,3665,Market Rd,,Arlington,VA,22202,Arlington County,122,VA-10,39,43,39
692759204,Scott,Alexander,Lynn,,M,1965-01-16,1993-07-21,REP,A,5312,Walnut Ct,,Lorton,VA,22079,Fairfax County,427,VA-08,33,67,38
468879895,Lopez,Sandra,Sue,IV,F,1929-10-23,2014-09-10,NPA,A,8320,Hill Ct,,McLean,VA,22106,Fairfax County,109,VA-10,35,37,58
958319153,Allen,Cynthia,,III,F,1971-08-04,2004-10-31,REP,A,2844,Oak Cir,,Annandale,VA,22003,Fairfax County,507,VA-11,32,86,5
800150455,Hill,Charles,K,Jr,M,1981-07-16,2009-09-03,DEM,A,3554,Highland Blvd,,Woodbridge,VA,22192,Prince William County,202,VA-10,36,49,30
404187859,Phillips,Emily,G,,F,2003-07-20,2023-08-03,REP,A,9745,Lincoln Dr,,McLean,VA,22106,Fairfax County,358,VA-08,30,36,1
868155245,Garcia,Brandon,D,IV,M,1956-11-02,1984-12-04,NPA,A,2228,River Cir,,Falls Church,VA,22041,Falls Church City,224,VA-10,37,36,64
289642463,Torres,William,T,,M,1931-09-12,1983-05-10,REP,A,6497,Hill Rd,,Alexandria,VA,22301,Alexandria City,187,VA-10,36,46,84
763971973,Hall,Joshua,Rose,,M,1974-09-07,1995-10-22,DEM,I,2392,Oak Dr,Apt 47,Woodbridge,VA,22192,Prince William County,476,VA-08,39,43,50
718439865,Lopez,James,D,,M,1941-08-22,2024-11-01,DEM,A,1147,Market Ave,,Reston,VA,20194,Fairfax County,413,VA-10,35,46,32
773441905,Williams,Dennis,M,,M,1937-03-03,1994-07-28,REP,A,2853,Walnut Blvd,,Herndon,VA,20171,Fairfax County,121,VA-11,36,39,2
347028515,Scott,Mary,S,,F,1944-09-28,1978-08-02,DEM,A,7705,Lincoln Dr,,Centreville,VA,20120,Fairfax County,377,VA-08,32,35,5
998710123,Thomas,Richard,Jo,,M,1977-04-23,1998-04-19,DEM,I,8036,Oak Ct,,Manassas,VA,20112,Manassas City,826,VA-10,32,48,72
298583968,Collins,Catherine,S,,F,1970-08-11,2013-12-28,NPA,A,2540,Front Cir,Apt 809,McLean,VA,22106,Fairfax County,107,VA-11,39,35,43
622082166,Green,Carolyn,A,,F,1978-12-20,2010-12-07,REP,A,4959,Spring Ln,#34,Leesburg,VA,20175,Loudoun County,419,VA-10,30,53,95
737112501,Rivera,Jacob,Ann,,M,1976-12-10,1996-12-11,NPA,A,1530,Maple Ct,,Vienna,VA,22181,Fairfax County,212,VA-10,31,38,50
925190102,Martin,Cynthia,J,,F,1950-05-14,1990-05-07,DEM,A,4820,Lincoln St,,Manassas,VA,20110,Manassas City,392,VA-11,39,43,18
483748402,Mitchell,James,Ray,,M,1989-05-29,2023-12-01,REP,I,2509,Union Cir,,Sterling,VA,20166,Loudoun County,617,VA-08,32,67,12
460150990,King,Justin,R,,M,1954-01-12,1979-07-02,DEM,A,1531,Meadow Ct,#38,Ashburn,VA,20148,Loudoun County,905,VA-10,32,47,37
949565526,Smith,Elizabeth,Jo,,F,1982-03-31,2024-12-06,DEM,A,3364,Elm Ct,,Woodbridge,VA,22192,Prince William County,594,VA-10,39,48,22
908128706,Parker,Samantha,,,F,1965-08-02,1991-01-17,REP,I,566,Cedar Ln,,Manassas,VA,20109,Manassas City,697,VA-11,36,42,63
977288628,Phillips,Debra,Marie,,F,1975-02-19,2016-12-21,REP,A,2454,Main Rd,,Sterling,VA,20165,Loudoun County,865,VA-08,31,40,15
642142157,Rivera,Nancy,Marie,,F,1944-04-23,1981-07-19,DEM,A,5136,Pine Dr,,Herndon,VA,20170,Fairfax County,210,VA-10,36,35,20
174742261,Wilson,Eric,N,,M,1950-10-03,1970-05-22,DEM,A,8360,Center Pl,Apt 917,Falls Church,VA,22042,Falls Church City,812,VA-10,36,47,21
534268004,Smith,Nancy,,,F,1979-08-13,2020-06-12,REP,I,2448,River Ct,,Fairfax,VA,22033,Fairfax County,315,VA-08,35,40,59
658290894,Robinson,Jerry,G,,M,1961-09-08,2023-08-12,REP,A,2305,Main Ave,#32,McLean,VA,22106,Fairfax County,802,VA-10,35,38,30
244405651,Jackson,Betty,,Jr,F,1993-05-14,2023-03-02,DEM,A,617,Spring Ave,,Burke,VA,22015,Fairfax County,777,VA-08,30,39,56
477172497,Davis,Maria,,II,F,1998-10-20,2021-04-08,DEM,A,2660,Meadow St,,Manassas,VA,20112,Manassas City,795,VA-10,35,35,3
531673580,Adams,Donald,Marie,III,M,1939-12-19,1975-11-17,REP,A,5631,Elm St,,Annandale,VA,22003,Fairfax County,798,VA-10,34,34,70
